state,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2005_per_capita,2006_per_capita,2007_per_capita,2008_per_capita,2009_per_capita,2010_per_capita,2011_per_capita,2012_per_capita,2013_per_capita,2014_per_capita,2015_per_capita,2016_per_capita,2005_ur,2006_ur,2007_ur,2008_ur,2009_ur,2010_ur,2011_ur,2012_ur,2013_ur,2014_ur,2015_ur,2016_ur
GA,388341.75,404206,417700.25,411866.75,404574.75,412484.75,424126.25,439058.25,452696.5,473562,497944.25,523374.3333,296929387,317384082,332074930,335573645,330586251,336504092,359778107,365480928,371155912,392123784,411721423,428348751.3,5.308333333,4.716666667,4.625,6.475,10.04166667,10.39166667,10.05833333,9.066666667,8.058333333,7.016666667,5.866666667,5.416666667
HI,58572.75,62053.5,65209.75,66692.25,65381.75,68224.75,70016.5,72532.25,74653.25,76588,80375.75,83409.33333,47220711,50618308,53206947,56050035,55852773,56908597,59072082,61836090,62784498,65993420,69129101,71847777.67,2.858333333,2.641666667,2.791666667,4.341666667,7.133333333,6.941666667,6.783333333,5.991666667,4.858333333,4.366666667,3.583333333,3.025
ID,47175.75,51157,54507.25,55853.25,53882.25,55258,56743.75,58104.75,60969,63050.25,65549,67301.66667,41863825,46053410,49037046,50680252,48865949,49842157,52744839,55370347,57581151,60737986,63535406,65336026,4.25,3.7,3.7,4.266666667,6.408333333,5.983333333,5.483333333,5,4.683333333,4.241666667,3.833333333,3.7
IL,586442,621231.5,646665.25,642698,638031.75,653476,679776,711370,722736,745809.5,776881.5,798409,474731421,507325828,536586280,552691325,524590671,535463835,562292466,587601163,600782652,624892159,646789116,666361239.3,4.008333333,3.425,3.058333333,5.15,8.833333333,8.975,8.316666667,7.183333333,6.083333333,4.791666667,4.166666667,3.8
IN,245196.75,256434.25,270245,273474.75,262068,282259,291570,299996.5,311331.5,324901,336053.25,344585.3333,195121894,207376568,215098965,225759917,220157359,227692069,242797724,253770962,257170310,266952598,277628668,286812920.3,5.658333333,4.566666667,5.025,6.45,10.30833333,10.26666667,9.633333333,8.966666667,8.958333333,7.008333333,5.933333333,5.9
IA,123353.25,127960.5,137598.25,137740.75,137069.5,141696.75,148843.25,158246.5,162814,169661,174030,173033,96668245,102703805,110015525,117010217,113322375,115762598,125236725,130989989,133536267,138125908,143393977,145740100.7,5.425,5.075,4.633333333,6.05,10.4,10.25,9.033333333,8.341666667,7.516666667,5.858333333,4.816666667,4.45
KS,104883.75,113362,122497.75,128107.75,123986.5,128541.5,136884,140963.75,143459,147493.5,149640.75,151948.6667,88583966,97677245,105406658,115633816,111052352,112083904,122014751,129292297,132683659,134654953,137316497,140240195.3,4.983333333,4.4,4.266666667,4.675,6.908333333,7.008333333,6.425,5.7,5.233333333,4.491666667,4.225,4.2
KY,143875.5,152132.75,155440.5,158846.5,156318.5,165973.75,171835.25,177046,181440,186344.5,193273.5,195055,121353573,128434393,134438098,141421812,139458607,143617957,150669444,155996922,156589351,163526197,170755826,174208874.7,5.866666667,5.741666667,5.441666667,6.575,10.45,10.175,9.333333333,8.166666667,8.008333333,6.383333333,5.233333333,5.016666667
LA,199682.75,207506.75,209454.75,218781.5,210879.5,232596,236247.5,241377.75,235949.5,242785,239304.75,237113.6667,134652952,143175909,156538878,167648484,162974620,169191480,174541004,184226805,185533619,194377951,200594438,202805732.7,7.05,4.508333333,4.258333333,4.966666667,6.933333333,7.95,7.725,7.016666667,6.5,6.25,6.308333333,6.141666667
ME,46277.5,48311.25,49452,49949,50405.25,51456,51490.25,52579.75,53219.25,55250.25,57296.5,59237,43083415,45402329,47187502,49226384,49130870,49827077,51714022,52877607,52724616,54860192,56893803,58836368.67,4.858333333,4.891666667,4.65,5.6,8.3,8.275,7.216666667,6.658333333,6.616666667,5.675,4.75,3.65
MD,263808.75,277634.25,286687,294564.25,300928.75,313951.5,324829.5,332499.75,338805.5,349605,365356.25,372292.6667,242159114,257913392,267773656,280994770,279900870,288737386,304387669,314159795,312369522,322884651,336187435,346709911,4.116666667,3.866666667,3.516666667,4.358333333,7.058333333,7.575,7.166666667,6.883333333,6.525,5.766666667,5.041666667,4.316666667
MA,345058.75,360556.75,378864,385444.75,385698.5,402652.25,417283,434098,441041.75,455979,484943,499332,287134553,309652139,324259926,338218622,335086775,348325560,365190182,380785092,383509900,402628928,425352524,439542349,4.883333333,4.558333333,4.7,5.525,8.116666667,8.125,7.891666667,7.458333333,6.6,5.591666667,4.333333333,3.858333333
MI,395165.75,395550,401522,384269.5,363146.25,385021.25,399436.75,416701.5,430538,447960.5,468334.25,483134.3333,329803615,337588867,346957762,354545792,336321819,347723348,369367635,382627062,388175044,405974703,424807490,438253974.7,6.733333333,7.008333333,7.108333333,8.275,13.78333333,12.41666667,10.275,9.066666667,8.591666667,7.091666667,5.391666667,4.95
MN,243933,250027,258917.25,264298.5,258165.75,269937.25,282396.5,292920.25,304358,316577.75,328340.25,326884.6667,193390784,203478772,214836931,225518558,215149426,223700193,238638075,254020529,256039772,268126460,279262704,285469779.7,4.041666667,4.025,4.583333333,5.483333333,7.8,7.341666667,6.408333333,5.558333333,4.883333333,4.125,3.775,3.933333333
MS,81678.5,86291,91422.5,97134.5,93669,95810,96967.75,101350.5,102725.25,103827.5,105819,109131.6667,77222001,80500778,85615593,90094129,88174096,90800430,94576285,98264480,99663477,102192019,104045259,106980742,5.375,4.883333333,5.158333333,6.25,9.316666667,9.525,8.333333333,6.916666667,6.566666667,6.05,5.05,4.591666667
MO,224090.5,232794.75,240613,250087.75,250435.75,255864.75,257224.75,266245.5,276645,282873.75,294491.25,303523,187778625,199490640,209373311,220897747,217131669,220251923,229108112,240120072,240825428,249263293,257338334,265360233.7,7.416666667,6.566666667,6.2,6.825,9.7,10.33333333,9.891666667,8.991666667,8.491666667,7.433333333,6.325,5.85
MT,30637.25,32913.75,35947.25,36916.5,36079.5,38375.25,41186.5,42349,43230,44448.5,45237.25,45859,27982487,30304534,32610254,34611922,33768763,35125691,37698478,40027400,40074179,41542641,43186928,43904643,4.308333333,3.466666667,3.566666667,5.116666667,6.933333333,7.291666667,6.933333333,5.975,5.366666667,4.658333333,4.125,4.125
NE,73455.25,77547,81926.25,84873.25,86960.5,92230.75,99934.75,101972.75,106735.5,111296.5,113281.75,114983.6667,60120755,62951389,67917175,72300017,71103994,74149336,82656406,85485324,85722866,90988217,92048473,93900331.67,5.208333333,4.758333333,4.783333333,6.3,10.64166667,10.725,10.15,9.183333333,7.85,6.216666667,5.666666667,5.083333333
NV,118784.5,128310.75,132166.5,128363.25,120202.5,121713.5,124445,125440.5,128321.25,133783.5,139724.5,144346.6667,93970899,100730483,104399125,103001444,97399708,99534123,103259252,107930003,108503500,114922561,121095970,126162441,3.375,3.216666667,3.108333333,3.208333333,4.1,3.775,3.458333333,3.066666667,2.883333333,2.675,2.816666667,3.158333333
NH,57281.75,59947,61370,61442.25,62205.5,64158.5,65214,66947.5,68532.75,71153.75,73867.5,77154,53136817,57259284,59325737,61011388,60201229,62087848,65339834,68481909,68261645,71219034,74388007,77151854,3.775,3.125,3.016666667,3.358333333,4.65,4.616666667,4.35,3.983333333,3.758333333,3.266666667,3.066666667,3.233333333
NJ,443147.5,465026.75,480912,491855.25,482143,489129.75,493343,514662.25,531666,543786.5,567738,584969,392400318,418875514,438838772,455850397,442746079,451895490,473742591,490610937,494040279,516019664,537026391,552142755.7,3.575,3.441666667,3.533333333,3.883333333,6.266666667,5.833333333,5.391666667,5.483333333,5.05,4.266666667,3.358333333,2.825
NM,74403.25,77983.75,80895.75,86318.25,82837.5,86079.5,89261.5,90146.25,91233.75,94730.5,93339.25,92041.66667,55562615,59578677,63091733,67250834,66243018,68361950,72175501,73822778,72465608,76449091,79104093,80321834.67,4.45,4.725,4.316666667,5.425,9.116666667,9.5,9.341666667,9.3,8.15,6.725,5.766666667,4.975
NY,1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667
NC,357167.5,386914.5,397063.25,415094.75,407846,416008.5,427973.5,438350,454063.5,473471,495402.25,512470,280648703,304185004,328369034,351987808,338669437,337729995,352009519,376200549,372140736,391300375,409338338,423856747.3,4.058333333,4.025,4.491666667,6.716666667,11.45,13.53333333,13.01666667,11.15,9.508333333,7.891666667,6.766666667,5.65
ND,24622,26413.5,28887,32494.75,32488.75,36202.5,42164.5,52493.25,54981.75,59308,55860.5,50933,20365614,21301444,23713934,27100616,26687878,29450250,33306563,39449209,40296443,42848356,42349688,41575413.67,4.983333333,4.55,4.6,5.541666667,8.416666667,8.575,8.275,8.483333333,7.575,6.308333333,5.275,4.866666667
OH,467392.25,480096.5,492924.75,492744.75,479526.5,498989.5,528567.25,550298.75,565256.5,591333,610928.25,622632.3333,372826780,392059624,408126658,422401501,410538372,419569872,448119917,465139834,470745086,488867951,505950314,518934104,5.891666667,5.425,5.6,6.6,10.40833333,10.15,8.8,7.366666667,7.325,5.7,4.9,4.966666667
OK,125243.25,137584,145693.5,156398.5,143647.75,149913.5,163868,174304.75,185103.25,194466.25,185980.5,179630.3333,110225753,122267011,127684113,142149545,129819128,135011290,145616058,156874413,164437285,175037452,178250475,178272480,4.458333333,4.008333333,4.083333333,3.775,6.416666667,6.758333333,5.833333333,5.216666667,5.233333333,4.441666667,4.366666667,4.9
OR,147535,163563.75,170940.5,180934.5,181022.25,191120.25,199929,196973.5,197469.75,203606.25,217628.5,229006.3333,117144304,127457878,133476862,140004731,134859864,136986770,144632521,152489633,155147986,165559773,176401260,184180015.7,6.15,5.325,5.183333333,6.625,11.29166667,10.56666667,9.433333333,8.783333333,7.833333333,6.775,5.591666667,4.891666667
PA,506505,525978.75,559876.5,579432.25,573964.25,596662,615411,637896,661348,685420,709762,716255,451274953,476162792,506357616,528853951,515485777,533929583,561012102,585851545,589491588,613524377,636857158,650328731.3,4.95,4.566666667,4.475,5.458333333,8.2,8.375,7.875,7.741666667,7.116666667,5.783333333,5.275,5.458333333
RI,45663.75,48011.25,48044.25,47343.25,47709,49351.5,49716,50997.75,52273.75,53897.75,56052,57215.33333,39434531,41573771,43256752,44285471,43131954,45023318,46640595,48601350,48771792,50660274,52833501,54066176,5.058333333,4.916666667,5.225,7.8,11.05833333,11.175,11.01666667,10.39166667,9.191666667,7.65,5.95,5.283333333
SC,143584.75,151084.5,160145.25,162266,160438.75,164106,170192.75,174566.75,181374,190773,201005.5,209086,123655488,133248360,142015184,148898634,145201638,149093360,157952965,166397814,168267898,178001545,187532342,194698927,6.7,6.458333333,5.716666667,7,11.325,11.06666667,10.44166667,9.108333333,7.508333333,6.35,5.908333333,4.858333333
SD,31380.25,32519.75,35165,37245.5,36686.75,38175.5,42253.25,43056,44667.75,45588,47244.25,47106.33333,26189694,27564810,30658501,33012790,31898690,33520714,36791498,37583819,37709126,39222985,41104237,41279108,3.8,3.116666667,2.825,3.1,4.933333333,4.975,4.716666667,4.258333333,3.75,3.4,3.075,2.816666667
TN,227505,239017.25,243000.5,249051.75,246540.75,252477.5,263175.25,278298.5,288113.75,299157.75,315857,326846.6667,188355736,200622515,210695574,220669541,218408222,226633982,239633734,250285838,252091031,263437186,277832327,286256373.3,5.533333333,5.208333333,4.741666667,6.791666667,10.6,9.641666667,8.875,7.825,7.675,6.466666667,5.508333333,4.808333333
TX,990054.5,1088294.75,1179213.5,1243387.25,1166515.75,1243397.75,1344732.75,1437893.5,1532855.25,1627864.75,1630082.5,1628353,746963828,817777478,872964318,961039866,910107802,956561930,1047017041,1125709687,1148928546,1234438147,1289603627,1320759772,5.375,4.883333333,4.275,4.85,7.616666667,8.1,7.683333333,6.666666667,6.116666667,5.05,4.433333333,4.683333333
UT,94475.25,106312.5,115981.5,116117,113194,117714,124031.25,128017.75,133264,140295.5,147503.5,154166.6667,70680942,78678689,85634720,90362956,86110566,87931071,94918680,101508754,104664413,110843820,117763901,123171875,4,2.908333333,2.608333333,3.616666667,7.491666667,7.85,6.708333333,5.383333333,4.483333333,3.758333333,3.558333333,3.4
VT,23538.75,24319,24848.5,25466.5,25527,26633,27676,28195,28599.25,29258.5,30038.25,31031.33333,21536171,23011821,24232173,25494389,25130695,25612435,27220129,28120420,28592608,29548584,30417564,31183585,3.566666667,3.108333333,3.116666667,4.116666667,6.75,7.05,6.475,5.975,5.6,5.166666667,4.391666667,4.05
VA,359272.75,379180.5,392553,398816.75,407302.25,420861.75,429174,441144.25,449502.5,460151.25,481084.25,491976.6667,305504952,327318432,345335541,358043492,350577657,363888979,385615411,403880401,400660395,417276976,436349531,449655673,3.491666667,3.683333333,4.025,4.708333333,6.6,6.075,5.458333333,4.941666667,4.366666667,3.941666667,3.558333333,3.258333333
WA,296403,316800.75,345970.75,354210,348464.5,359694.5,370149,388922,404539.5,423794.75,445412.75,470123.6667,236271199,257104210,279088841,293949341,278991093,284523758,301567633,326408854,333168842,355676661,372125338,388174704.7,5.525,5.041666667,4.716666667,5.508333333,9.191666667,9.933333333,9.183333333,8.066666667,6.95,6.091666667,5.616666667,5.441666667
WV,53453.5,56871,58872.5,62581.25,63865.75,67254.75,70945.25,70968.5,72120.25,74148,74321.25,72512.66667,48411990,51923737,53779085,57551409,58042232,59487163,63067998,64623761,64207088,66145384,67787227,68072847,4.7,4.758333333,4.941666667,5.016666667,8.65,8.591666667,7.708333333,7.025,6.625,5.358333333,4.541666667,4.166666667
WI,226324.5,235787,243632,244546.25,244994.5,252875,262462.25,272420,279996.25,291754.25,302076.25,308837,189528086,201536159,210810973,219283413,215498897,219627970,232664321,243576466,245382484,255753166,264987588,271532023.7,5.083333333,4.941666667,4.641666667,4.45,7.783333333,8.575,7.975,7.441666667,6.708333333,6.608333333,6.725,6.025
WY,27454.5,32674.25,36331.25,42871.75,37129.5,39103.25,41499.5,40201.25,40978.75,42020.75,39864,37111,19656998,22583362,23918986,26505381,24381004,25656916,28092250,30434827,30717840,32723587,32869550,32361543.67,3.566666667,3.175,2.85,3.075,6.341666667,6.458333333,5.766666667,5.3,4.691666667,4.15,4.258333333,5.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,255199.2549,270063.2353,282179.3676,286796.0343,280786.5539,291368.0784,302078.4608,314534.1814,325035.4559,338775.4265,351365.7206,359804.1111,208045490.2,223163725.5,235204294.1,244955000,236851843.1,244306137.3,259479137.3,272636960.8,275861960.8,290227921.6,303215313.7,312308407.8,4.900816993,4.460784314,4.398529412,5.453594771,8.577287582,8.716176471,8.102287582,7.335947713,6.679084967,5.734150327,5.014052288,4.678594771
