"","city","real_2005","real_2006","real_2007","real_2008","real_2009","real_2010","real_2011","real_2012","real_2013","real_2014","real_2015","real_2016","gdp_2005","gdp_2006","gdp_2007","gdp_2008","gdp_2009","gdp_2010","gdp_2011","gdp_2012","gdp_2013","gdp_2014","gdp_2015","gdp_2016","per_capita_2005","per_capita_2006","per_capita_2007","per_capita_2008","per_capita_2009","per_capita_2010","per_capita_2011","per_capita_2012","per_capita_2013","per_capita_2014","per_capita_2015","per_capita_2016","ur_2005","ur_2006","ur_2007","ur_2008","ur_2009","ur_2010","ur_2011","ur_2012","ur_2013","ur_2014","ur_2015","ur_2016","er_2005","er_2006","er_2007","er_2008","er_2009","er_2010","er_2011","er_2012","er_2013","er_2014","er_2015","er_2016"
"11","Utica","96295.49108","75408.33333","79966.66667","82458.33333","79100","78466.66667","79866.66667","78025","78208.33333","77966.66667","78933.33333","83366.66667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"12","Valley Stream","397369.3576","453633.3333","449283.3333","404025","362883.3333","345433.3333","334375","324850","336300","356450","375816.6667","404041.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"13","White Plains","531219.0454","592925","585216.6667","553258.3333","519933.3333","506375","481700","472875","480150","508200","527325","545158.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"14","Town of Hempstead","359168.4236","380858.3333","396075","372233.3333","316175","271608.3333","259550","245158.3333","247900","256466.6667","270600","294883.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"15","Town of Binghamton","126420.7662","119158.3333","140375","135175","132091.6667","123816.6667","122916.6667","121875","125583.3333","117800","117558.3333","117966.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"16","Town of Newburgh","235839.7211","259208.3333","263141.6667","246000","232916.6667","212083.3333","194258.3333","175291.6667","177266.6667","176866.6667","175391.6667","175175",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"17","Troy","141661.6696","132525","138875","145750","140316.6667","136850","132100","130716.6667","130775","130225","130841.6667","132658.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"18","Niagara Falls","59615.97677","56025","56450","57666.66667","54825","59183.33333","60716.66667","60025","59000","60850","62108.33333","64508.33333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"19","Irondequoit","99958.32255","103150","105866.6667","108725","108425","110450","108066.6667","107116.6667","108591.6667","110141.6667","113300","117016.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"20","Binghamton","71775.49303","71733.33333","79250","82016.66667","79991.66667","80041.66667","77216.66667","75391.66667","79475","75025","72600","73116.66667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"21","Massapequa","455530.1397","486083.3333","472358.3333","440358.3333","406750","399433.3333","389925","382908.3333","398191.6667","417050","429400","446425",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"22","Town of Elmira","75841.2479","64416.66667","64858.33333","65233.33333","64825","67841.66667","69466.66667","72800","74100","73583.33333","69300","69558.33333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"23","Henrietta","120110.1513","116866.6667","120158.3333","121500","120658.3333","125366.6667","124458.3333","125100","126525","127591.6667","131691.6667","137791.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"24","Town of Webster","149120.1784","156975","160516.6667","163283.3333","162216.6667","164275","162408.3333","163650","166758.3333","167825","171516.6667","178425",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"25","Patchogue","322946.3988","357341.6667","343775","322758.3333","285691.6667","273550","252366.6667","238991.6667","238200","245233.3333","262450","275883.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"26","Clifton Park","243888.619","267208.3333","270350","258825","252333.3333","252100","249641.6667","255391.6667","258100","256891.6667","264183.3333","270666.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"27","Freeport","362176.0476","410716.6667","419816.6667","381833.3333","333491.6667","308858.3333","295375","281875","287175","294733.3333","308283.3333","323825",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"28","Lindenhurst","366301.8936","394075","384741.6667","351750","325425","304400","283058.3333","277791.6667","271725","275108.3333","284733.3333","301108.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"29","Levittown","438647.6791","410100","392483.3333","356266.6667","329166.6667","318233.3333","312041.6667","300550","315783.3333","332358.3333","349941.6667","365608.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"30","Elmont","391295.9753","424816.6667","429175","386283.3333","341975","319100","306066.6667","292925","310658.3333","332525","350308.3333","371108.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"31","West Babylon","368370.0399","392508.3333","394658.3333","365658.3333","322450","298425","278625","282741.6667","275766.6667","278516.6667","287341.6667","304025",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"32","Hicksville","409037.8928","450875","428758.3333","400600","359550","350633.3333","346608.3333","333225","347116.6667","375508.3333","394183.3333","412166.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"33","Perinton","165466.3146","172633.3333","176825","177766.6667","175416.6667","180050","178483.3333","179075","181875","182608.3333","188500","195325",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"34","Great Neck","946939.2424","1076291.667","1035033.333","967366.6667","904416.6667","855433.3333","862333.3333","872433.3333","925566.6667","1018483.333","1086200","1154233.333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"35","East Meadow","418460.24","465983.3333","451166.6667","409908.3333","376258.3333","360383.3333","350466.6667","349525","371700","396658.3333","411466.6667","430566.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"36","Penfield","170753.3091","166341.6667","170458.3333","171991.6667","169400","173250","171300","172791.6667","176741.6667","178541.6667","182883.3333","192875",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"37","Ronkonkoma","361592.8629","391158.3333","375175","348741.6667","314350","308291.6667","299708.3333","290941.6667","284725","289350","294466.6667","309708.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"38","Saratoga Springs","270084.0664","283325","285208.3333","277375","272133.3333","272508.3333","275508.3333","270241.6667","276316.6667","288433.3333","302433.3333","321341.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"39","Brighton","159383.022","153358.3333","155091.6667","156833.3333","158250","158991.6667","156183.3333","155300","159475","163050","167058.3333","173583.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"40","Rome","96546.20392","76525","80958.33333","78000","77600","76641.66667","75841.66667","74458.33333","77583.33333","78175","79391.66667","81100",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"41","Merrick","494625.6175","534333.3333","506541.6667","481558.3333","452858.3333","434533.3333","429741.6667","424508.3333","439008.3333","467166.6667","478958.3333","490500",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"42","Town of Lockport","105165.6645","85708.33333","86633.33333","88383.33333","84541.66667","88641.66667","89633.33333","92025","90500","93141.66667","95583.33333","104775",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
