month,unemployment_rate,fed_funds_rate,10y_rate,nonfarm_payrolls,cpi_index
1960-09,5.5,2.6,3.8,54228000,29.61
1960-10,6.1,2.47,3.89,54144000,29.75
1960-11,6.1,2.44,3.93,53962000,29.78
1960-12,6.6,1.98,3.84,53744000,29.81
1961-01,6.6,1.45,3.84,53683000,29.84
1961-02,6.9,2.54,3.78,53556000,29.84
1961-03,6.9,2.02,3.74,53662000,29.84
1961-04,7,1.49,3.78,53626000,29.81
1961-05,7.1,1.98,3.71,53785000,29.84
1961-06,6.9,1.73,3.88,53977000,29.84
1961-07,7,1.17,3.92,54123000,29.92
1961-08,6.6,2,4.04,54298000,29.94
1961-09,6.7,1.88,3.98,54388000,29.98
1961-10,6.5,2.26,3.92,54522000,29.98
1961-11,6.1,2.61,3.94,54743000,29.98
1961-12,6,2.33,4.06,54871000,30.01
1962-01,5.8,2.15,4.08,54891000,30.04
1962-02,5.5,2.37,4.04,55187000,30.11
1962-03,5.6,2.85,3.93,55276000,30.17
1962-04,5.6,2.78,3.84,55602000,30.21
1962-05,5.5,2.36,3.87,55627000,30.24
1962-06,5.5,2.68,3.91,55644000,30.21
1962-07,5.4,2.71,4.01,55746000,30.22
1962-08,5.7,2.93,3.98,55838000,30.28
1962-09,5.6,2.9,3.98,55977000,30.42
1962-10,5.4,2.9,3.93,56041000,30.38
1962-11,5.7,2.94,3.92,56056000,30.38
1962-12,5.5,2.93,3.86,56028000,30.38
1963-01,5.7,2.92,3.83,56116000,30.44
1963-02,5.9,3,3.92,56230000,30.48
1963-03,5.7,2.98,3.93,56322000,30.51
1963-04,5.7,2.9,3.97,56580000,30.48
1963-05,5.9,3,3.93,56616000,30.51
1963-06,5.6,2.99,3.99,56658000,30.61
1963-07,5.6,3.02,4.02,56794000,30.69
1963-08,5.4,3.49,4,56910000,30.75
1963-09,5.5,3.48,4.08,57077000,30.72
1963-10,5.5,3.5,4.11,57284000,30.75
1963-11,5.7,3.48,4.12,57255000,30.78
1963-12,5.5,3.38,4.13,57360000,30.88
1964-01,5.6,3.48,4.17,57487000,30.94
1964-02,5.4,3.48,4.15,57751000,30.91
1964-03,5.4,3.43,4.22,57898000,30.94
1964-04,5.3,3.47,4.23,57922000,30.95
1964-05,5.1,3.5,4.2,58089000,30.98
1964-06,5.2,3.5,4.17,58221000,31.01
1964-07,4.9,3.42,4.19,58413000,31.02
1964-08,5,3.5,4.19,58619000,31.05
1964-09,5.1,3.45,4.2,58903000,31.08
1964-10,5.1,3.36,4.19,58794000,31.12
1964-11,4.8,3.52,4.15,59217000,31.21
1964-12,5,3.85,4.18,59421000,31.25
1965-01,4.9,3.9,4.19,59583000,31.28
1965-02,5.1,3.98,4.21,59800000,31.28
1965-03,4.7,4.04,4.21,60003000,31.31
1965-04,4.8,4.09,4.2,60259000,31.38
1965-05,4.6,4.1,4.21,60492000,31.48
1965-06,4.6,4.04,4.21,60690000,31.61
1965-07,4.4,4.09,4.2,60963000,31.58
1965-08,4.4,4.12,4.25,61228000,31.55
1965-09,4.3,4.01,4.29,61490000,31.62
1965-10,4.2,4.08,4.35,61718000,31.65
1965-11,4.1,4.1,4.45,61997000,31.75
1965-12,4,4.32,4.62,62321000,31.85
1966-01,4,4.42,4.61,62528000,31.88
1966-02,3.8,4.6,4.83,62796000,32.08
1966-03,3.8,4.65,4.87,63192000,32.18
1966-04,3.8,4.67,4.75,63436000,32.28
1966-05,3.9,4.9,4.78,63711000,32.35
1966-06,3.8,5.17,4.81,64110000,32.38
1966-07,3.8,5.3,5.02,64301000,32.45
1966-08,3.8,5.53,5.22,64507000,32.65
1966-09,3.7,5.4,5.18,64644000,32.75
1966-10,3.7,5.53,5.01,64854000,32.85
1966-11,3.6,5.76,5.16,65019000,32.88
1966-12,3.8,5.4,4.84,65200000,32.92
1967-01,3.9,4.94,4.58,65407000,32.9
1967-02,3.8,5,4.63,65428000,33
1967-03,3.8,4.53,4.54,65530000,33
1967-04,3.8,4.05,4.59,65467000,33.1
1967-05,3.8,3.94,4.85,65619000,33.1
1967-06,3.9,3.98,5.02,65750000,33.3
1967-07,3.8,3.79,5.16,65887000,33.4
1967-08,3.8,3.9,5.28,66142000,33.5
1967-09,3.8,3.99,5.3,66164000,33.6
1967-10,4,3.88,5.48,66225000,33.7
1967-11,3.9,4.13,5.75,66703000,33.9
1967-12,3.8,4.51,5.7,66900000,34
1968-01,3.7,4.6,5.53,66805000,34.1
1968-02,3.8,4.71,5.56,67215000,34.2
1968-03,3.7,5.05,5.74,67295000,34.3
1968-04,3.5,5.76,5.64,67555000,34.4
1968-05,3.5,6.11,5.87,67653000,34.5
1968-06,3.7,6.07,5.72,67904000,34.7
1968-07,3.7,6.02,5.5,68125000,34.9
1968-08,3.5,6.03,5.42,68328000,35
1968-09,3.4,5.78,5.46,68487000,35.1
1968-10,3.4,5.91,5.58,68720000,35.3
1968-11,3.4,5.82,5.7,68985000,35.4
1968-12,3.4,6.02,6.03,69246000,35.6
1969-01,3.4,6.3,6.04,69438000,35.7
1969-02,3.4,6.61,6.19,69700000,35.8
1969-03,3.4,6.79,6.3,69905000,36.1
1969-04,3.4,7.41,6.17,70072000,36.3
1969-05,3.4,8.67,6.32,70328000,36.4
1969-06,3.5,8.9,6.57,70636000,36.6
1969-07,3.5,8.61,6.72,70729000,36.8
1969-08,3.5,9.19,6.69,71006000,36.9
1969-09,3.7,9.15,7.16,70917000,37.1
1969-10,3.7,9,7.1,71120000,37.3
1969-11,3.5,8.85,7.14,71087000,37.5
1969-12,3.5,8.97,7.65,71240000,37.7
1970-01,3.9,8.98,7.79,71176000,37.9
1970-02,4.2,8.98,7.24,71304000,38.1
1970-03,4.4,7.76,7.07,71452000,38.3
1970-04,4.6,8.1,7.39,71348000,38.5
1970-05,4.8,7.94,7.91,71123000,38.6
1970-06,4.9,7.6,7.84,71029000,38.8
1970-07,5,7.21,7.46,71053000,38.9
1970-08,5.1,6.61,7.53,70933000,39
1970-09,5.4,6.29,7.39,70948000,39.2
1970-10,5.5,6.2,7.33,70519000,39.4
1970-11,5.9,5.6,6.84,70409000,39.6
1970-12,6.1,4.9,6.39,70790000,39.8
1971-01,5.9,4.14,6.24,70866000,39.9
1971-02,5.9,3.72,6.11,70806000,39.9
1971-03,6,3.71,5.7,70859000,40
1971-04,5.9,4.15,5.83,71037000,40.1
1971-05,5.9,4.63,6.39,71247000,40.3
1971-06,5.9,4.91,6.52,71253000,40.5
1971-07,6,5.31,6.73,71315000,40.6
1971-08,6.1,5.56,6.58,71370000,40.7
1971-09,6,5.55,6.14,71617000,40.8
1971-10,5.8,5.2,5.93,71642000,40.9
1971-11,6,4.91,5.81,71846000,41
1971-12,6,4.14,5.93,72108000,41.1
1972-01,5.8,3.5,5.95,72445000,41.2
1972-02,5.7,3.29,6.08,72652000,41.4
1972-03,5.8,3.83,6.07,72945000,41.4
1972-04,5.7,4.17,6.19,73163000,41.5
1972-05,5.7,4.27,6.13,73467000,41.6
1972-06,5.7,4.46,6.11,73760000,41.7
1972-07,5.6,4.55,6.11,73708000,41.8
1972-08,5.6,4.8,6.21,74138000,41.9
1972-09,5.5,4.87,6.55,74263000,42.1
1972-10,5.6,5.04,6.48,74673000,42.2
1972-11,5.3,5.06,6.28,74967000,42.4
1972-12,5.2,5.33,6.36,75270000,42.5
1973-01,4.9,5.94,6.46,75621000,42.7
1973-02,5,6.58,6.64,76017000,43
1973-03,4.9,7.09,6.71,76285000,43.4
1973-04,5,7.12,6.67,76455000,43.7
1973-05,4.9,7.84,6.85,76646000,43.9
1973-06,4.9,8.49,6.9,76887000,44.2
1973-07,4.8,10.4,7.13,76911000,44.2
1973-08,4.8,10.5,7.4,77166000,45
1973-09,4.8,10.78,7.09,77276000,45.2
1973-10,4.6,10.01,6.79,77606000,45.6
1973-11,4.8,10.03,6.73,77912000,45.9
1973-12,4.9,9.95,6.74,78035000,46.3
1974-01,5.1,9.65,6.99,78104000,46.8
1974-02,5.2,8.97,6.96,78254000,47.3
1974-03,5.1,9.35,7.21,78296000,47.8
1974-04,5.1,10.51,7.51,78382000,48.1
1974-05,5.1,11.31,7.58,78547000,48.6
1974-06,5.4,11.93,7.54,78602000,49
1974-07,5.5,12.92,7.81,78635000,49.3
1974-08,5.5,12.01,8.04,78619000,49.9
1974-09,5.9,11.34,8.04,78611000,50.6
1974-10,6,10.06,7.9,78629000,51
1974-11,6.6,9.45,7.68,78261000,51.5
1974-12,7.2,8.53,7.43,77657000,51.9
1975-01,8.1,7.13,7.5,77297000,52.3
1975-02,8.1,6.24,7.39,76919000,52.6
1975-03,8.6,5.54,7.73,76649000,52.8
1975-04,8.8,5.49,8.23,76461000,53
1975-05,9,5.22,8.06,76623000,53.1
1975-06,8.8,5.55,7.86,76520000,53.5
1975-07,8.6,6.1,8.06,76769000,54
1975-08,8.4,6.14,8.4,77155000,54.2
1975-09,8.4,6.24,8.43,77230000,54.6
1975-10,8.4,5.82,8.14,77535000,54.9
1975-11,8.3,5.22,8.05,77680000,55.3
1975-12,8.2,5.2,8,78018000,55.6
1976-01,7.9,4.87,7.74,78506000,55.8
1976-02,7.7,4.77,7.79,78817000,55.9
1976-03,7.6,4.84,7.73,79049000,56
1976-04,7.7,4.82,7.56,79292000,56.1
1976-05,7.4,5.29,7.9,79311000,56.4
1976-06,7.6,5.48,7.86,79376000,56.7
1976-07,7.8,5.31,7.83,79547000,57
1976-08,7.8,5.29,7.77,79704000,57.3
1976-09,7.6,5.25,7.59,79892000,57.6
1976-10,7.7,5.02,7.41,79905000,57.9
1976-11,7.8,4.95,7.29,80237000,58.1
1976-12,7.8,4.65,6.87,80448000,58.4
1977-01,7.5,4.61,7.21,80692000,58.7
1977-02,7.6,4.68,7.39,80988000,59.3
1977-03,7.4,4.69,7.46,81391000,59.6
1977-04,7.2,4.73,7.37,81729000,60
1977-05,7,5.35,7.46,82089000,60.2
1977-06,7.2,5.39,7.28,82488000,60.5
1977-07,6.9,5.42,7.33,82836000,60.8
1977-08,7,5.9,7.4,83074000,61.1
1977-09,6.8,6.14,7.34,83532000,61.3
1977-10,6.8,6.47,7.52,83794000,61.6
1977-11,6.8,6.51,7.58,84173000,62
1977-12,6.4,6.56,7.69,84408000,62.3
1978-01,6.4,6.7,7.96,84595000,62.7
1978-02,6.3,6.78,8.03,84948000,63
1978-03,6.3,6.79,8.04,85461000,63.4
1978-04,6.1,6.89,8.15,86163000,63.9
1978-05,6,7.36,8.35,86509000,64.5
1978-06,5.9,7.6,8.46,86951000,65
1978-07,6.2,7.81,8.64,87205000,65.5
1978-08,5.9,8.04,8.41,87481000,65.9
1978-09,6,8.45,8.42,87618000,66.5
1978-10,5.8,8.96,8.64,87954000,67.1
1978-11,5.9,9.76,8.81,88391000,67.5
1978-12,6,10.03,9.01,88673000,67.9
1979-01,5.9,10.07,9.1,88810000,68.5
1979-02,5.9,10.06,9.1,89054000,69.2
1979-03,5.8,10.09,9.12,89480000,69.9
1979-04,5.8,10.01,9.18,89418000,70.6
1979-05,5.6,10.24,9.25,89791000,71.4
1979-06,5.7,10.29,8.91,90109000,72.2
1979-07,5.7,10.47,8.95,90215000,73
1979-08,6,10.94,9.03,90297000,73.7
1979-09,5.9,11.43,9.33,90325000,74.4
1979-10,6,13.77,10.3,90482000,75.2
1979-11,5.9,13.18,10.65,90576000,76
1979-12,6,13.78,10.39,90673000,76.9
1980-01,6.3,13.82,10.8,90802000,78
1980-02,6.3,14.13,12.41,90882000,79
1980-03,6.3,17.19,12.75,90994000,80.1
1980-04,6.9,17.61,11.47,90850000,80.9
1980-05,7.5,10.98,10.18,90419000,81.7
1980-06,7.6,9.47,9.78,90099000,82.5
1980-07,7.8,9.03,10.25,89837000,82.6
1980-08,7.7,9.61,11.1,90097000,83.2
1980-09,7.5,10.87,11.51,90210000,83.9
1980-10,7.5,12.81,11.75,90491000,84.7
1980-11,7.5,15.85,12.68,90748000,85.6
1980-12,7.2,18.9,12.84,90943000,86.4
1981-01,7.5,19.08,12.57,91037000,87.2
1981-02,7.4,15.93,13.19,91105000,88
1981-03,7.4,14.7,13.12,91210000,88.6
1981-04,7.2,15.72,13.68,91283000,89.1
1981-05,7.5,18.52,14.1,91293000,89.7
1981-06,7.5,19.1,13.47,91490000,90.5
1981-07,7.2,19.04,14.28,91602000,91.5
1981-08,7.4,17.82,14.94,91566000,92.2
1981-09,7.6,15.87,15.32,91479000,93.1
1981-10,7.9,15.08,15.15,91380000,93.4
1981-11,8.3,13.31,13.39,91171000,93.8
1981-12,8.5,12.37,13.72,90893000,94.1
1982-01,8.6,13.22,14.59,90567000,94.4
1982-02,8.9,14.78,14.43,90562000,94.7
1982-03,9,14.68,13.86,90432000,94.7
1982-04,9.3,14.94,13.87,90152000,95
1982-05,9.4,14.45,13.62,90107000,95.9
1982-06,9.6,14.15,14.3,89864000,97
1982-07,9.8,12.59,13.95,89522000,97.5
1982-08,9.8,10.12,13.06,89364000,97.7
1982-09,10.1,10.31,12.34,89183000,97.7
1982-10,10.4,9.71,10.91,88906000,98.1
1982-11,10.8,9.2,10.55,88783000,98
1982-12,10.8,8.95,10.54,88769000,97.7
1983-01,10.4,8.68,10.46,88993000,97.9
1983-02,10.4,8.51,10.72,88918000,98
1983-03,10.3,8.77,10.51,89090000,98.1
1983-04,10.2,8.8,10.4,89366000,98.8
1983-05,10.1,8.63,10.38,89643000,99.2
1983-06,10.1,8.98,10.85,90022000,99.4
1983-07,9.4,9.37,11.38,90440000,99.8
1983-08,9.5,9.56,11.85,90132000,100.1
1983-09,9.2,9.45,11.65,91247000,100.4
1983-10,8.8,9.48,11.54,91518000,100.8
1983-11,8.5,9.34,11.69,91871000,101.1
1983-12,8.3,9.47,11.83,92227000,101.4
1984-01,8,9.56,11.67,92673000,102.1
1984-02,7.8,9.59,11.84,93154000,102.6
1984-03,7.8,9.91,12.32,93429000,102.9
1984-04,7.7,10.29,12.63,93792000,103.3
1984-05,7.4,10.32,13.41,94100000,103.5
1984-06,7.2,11.06,13.56,94479000,103.7
1984-07,7.5,11.23,13.36,94792000,104.1
1984-08,7.5,11.64,12.72,95034000,104.4
1984-09,7.3,11.3,12.52,95344000,104.7
1984-10,7.4,9.99,12.16,95630000,105.1
1984-11,7.2,9.43,11.57,95979000,105.3
1984-12,7.3,8.38,11.5,96107000,105.5
1985-01,7.3,8.35,11.38,96373000,105.7
1985-02,7.2,8.5,11.51,96497000,106.3
1985-03,7.2,8.58,11.86,96843000,106.8
1985-04,7.3,8.27,11.43,97039000,107
1985-05,7.2,7.97,10.85,97313000,107.2
1985-06,7.4,7.53,10.16,97459000,107.5
1985-07,7.4,7.88,10.31,97649000,107.7
1985-08,7.1,7.9,10.33,97842000,107.9
1985-09,7.1,7.92,10.37,98045000,108.1
1985-10,7.1,7.99,10.24,98233000,108.5
1985-11,7,8.05,9.78,98442000,109
1985-12,7,8.27,9.26,98609000,109.5
1986-01,6.7,8.14,9.19,98734000,109.9
1986-02,7.2,7.86,8.7,98841000,109.7
1986-03,7.2,7.48,7.78,98935000,109.1
1986-04,7.1,6.99,7.3,99122000,108.7
1986-05,7.2,6.85,7.71,99249000,109
1986-06,7.2,6.92,7.8,99155000,109.4
1986-07,7,6.56,7.3,99473000,109.5
1986-08,6.9,6.17,7.17,99587000,109.6
1986-09,7,5.89,7.45,99934000,110
1986-10,7,5.85,7.43,100120000,110.2
1986-11,6.9,6.04,7.25,100306000,110.4
1986-12,6.6,6.91,7.11,100511000,110.8
1987-01,6.6,6.43,7.08,100683000,111.4
1987-02,6.6,6.1,7.25,100915000,111.8
1987-03,6.6,6.13,7.25,101164000,112.2
1987-04,6.3,6.37,8.02,101502000,112.7
1987-05,6.3,6.85,8.61,101728000,113
1987-06,6.2,6.73,8.4,101900000,113.5
1987-07,6.1,6.58,8.45,102247000,113.8
1987-08,6,6.73,8.76,102418000,114.3
1987-09,5.9,7.22,9.42,102646000,114.7
1987-10,6,7.29,9.52,103138000,115
1987-11,5.8,6.69,8.86,103370000,115.4
1987-12,5.7,6.77,8.99,103664000,115.6
1988-01,5.7,6.83,8.67,103758000,116
1988-02,5.7,6.58,8.21,104211000,116.2
1988-03,5.7,6.58,8.37,104487000,116.5
1988-04,5.4,6.87,8.72,104732000,117.2
1988-05,5.6,7.09,9.09,104961000,117.5
1988-06,5.4,7.51,8.92,105324000,118
1988-07,5.4,7.75,9.06,105546000,118.5
1988-08,5.6,8.01,9.26,105670000,119
1988-09,5.4,8.19,8.98,106009000,119.5
1988-10,5.4,8.3,8.8,106277000,119.9
1988-11,5.3,8.35,8.96,106616000,120.3
1988-12,5.3,8.76,9.11,106906000,120.7
1989-01,5.4,9.12,9.09,107168000,121.2
1989-02,5.2,9.36,9.17,107426000,121.6
1989-03,5,9.85,9.36,107619000,122.2
1989-04,5.2,9.84,9.18,107792000,123.1
1989-05,5.2,9.81,8.86,107910000,123.7
1989-06,5.3,9.53,8.28,108026000,124.1
1989-07,5.2,9.24,8.02,108066000,124.5
1989-08,5.2,8.99,8.11,108115000,124.5
1989-09,5.3,9.02,8.19,108365000,124.8
1989-10,5.3,8.84,8.01,108476000,125.4
1989-11,5.4,8.55,7.87,108753000,125.9
1989-12,5.4,8.45,7.84,108849000,126.3
1990-01,5.4,8.23,8.21,109185000,127.5
1990-02,5.3,8.24,8.47,109433000,128
1990-03,5.2,8.28,8.59,109648000,128.6
1990-04,5.4,8.26,8.79,109687000,128.9
1990-05,5.4,8.18,8.76,109839000,129.1
1990-06,5.2,8.29,8.48,109861000,129.9
1990-07,5.5,8.15,8.47,109830000,130.5
1990-08,5.7,8.13,8.75,109614000,131.6
1990-09,5.9,8.2,8.89,109524000,132.5
1990-10,5.9,8.11,8.72,109364000,133.4
1990-11,6.2,7.81,8.39,109215000,133.7
1990-12,6.3,7.31,8.08,109159000,134.2
1991-01,6.4,6.91,8.09,109042000,134.7
1991-02,6.6,6.25,7.85,108736000,134.8
1991-03,6.8,6.12,8.11,108578000,134.8
1991-04,6.7,5.91,8.04,108366000,135.1
1991-05,6.9,5.78,8.07,108243000,135.6
1991-06,6.9,5.9,8.28,108337000,136
1991-07,6.8,5.82,8.27,108298000,136.2
1991-08,6.9,5.66,7.9,108308000,136.6
1991-09,6.9,5.45,7.65,108340000,137
1991-10,7,5.21,7.53,108355000,137.2
1991-11,7,4.81,7.42,108298000,137.8
1991-12,7.3,4.43,7.09,108324000,138.2
1992-01,7.3,4.03,7.03,108375000,138.3
1992-02,7.4,4.06,7.34,108314000,138.6
1992-03,7.4,3.98,7.54,108369000,139.1
1992-04,7.4,3.73,7.48,108527000,139.4
1992-05,7.6,3.82,7.39,108654000,139.7
1992-06,7.8,3.76,7.26,108719000,140.1
1992-07,7.7,3.25,6.84,108792000,140.5
1992-08,7.6,3.3,6.59,108930000,140.8
1992-09,7.6,3.22,6.42,108966000,141.1
1992-10,7.3,3.1,6.59,109147000,141.7
1992-11,7.4,3.09,6.87,109283000,142.1
1992-12,7.4,2.92,6.77,109494000,142.3
1993-01,7.3,3.02,6.6,109804000,142.8
1993-02,7.1,3.03,6.26,110047000,143.1
1993-03,7,3.07,5.98,109998000,143.3
1993-04,7.1,2.96,5.97,110306000,143.8
1993-05,7.1,3,6.04,110573000,144.2
1993-06,7,3.04,5.96,110752000,144.3
1993-07,6.9,3.06,5.81,111054000,144.5
1993-08,6.8,3.03,5.68,111212000,144.8
1993-09,6.7,3.09,5.36,111453000,145
1993-10,6.8,2.99,5.33,111736000,145.6
1993-11,6.6,3.02,5.72,111999000,146
1993-12,6.5,2.96,5.77,112315000,146.3
1994-01,6.6,3.05,5.75,112587000,146.3
1994-02,6.6,3.25,5.97,112783000,146.7
1994-03,6.5,3.34,6.48,113247000,147.1
1994-04,6.4,3.56,6.97,113597000,147.2
1994-05,6.1,4.01,7.18,113931000,147.5
1994-06,6.1,4.25,7.1,114245000,147.9
1994-07,6.1,4.26,7.3,114619000,148.4
1994-08,6,4.47,7.24,114902000,149
1994-09,5.9,4.73,7.46,115256000,149.3
1994-10,5.8,4.76,7.74,115465000,149.4
1994-11,5.6,5.29,7.96,115886000,149.8
1994-12,5.5,5.45,7.81,116166000,150.1
1995-01,5.6,5.53,7.78,116492000,150.5
1995-02,5.4,5.92,7.47,116693000,150.9
1995-03,5.4,5.98,7.2,116912000,151.2
1995-04,5.8,6.05,7.06,117075000,151.8
1995-05,5.6,6.01,6.63,117059000,152.1
1995-06,5.6,6,6.17,117293000,152.4
1995-07,5.7,5.85,6.28,117389000,152.6
1995-08,5.7,5.74,6.49,117644000,152.9
1995-09,5.6,5.8,6.2,117888000,153.1
1995-10,5.5,5.76,6.04,118039000,153.5
1995-11,5.6,5.8,5.93,118188000,153.7
1995-12,5.6,5.6,5.71,118322000,153.9
1996-01,5.6,5.56,5.65,118307000,154.7
1996-02,5.5,5.22,5.81,118736000,155
1996-03,5.5,5.31,6.27,119001000,155.5
1996-04,5.6,5.22,6.51,119165000,156.1
1996-05,5.6,5.24,6.74,119488000,156.4
1996-06,5.3,5.27,6.91,119773000,156.7
1996-07,5.5,5.4,6.87,120023000,157
1996-08,5.1,5.22,6.64,120203000,157.2
1996-09,5.2,5.3,6.83,120427000,157.7
1996-10,5.2,5.24,6.53,120676000,158.2
1996-11,5.4,5.31,6.2,120975000,158.7
1996-12,5.4,5.29,6.3,121146000,159.1
1997-01,5.3,5.25,6.58,121379000,159.4
1997-02,5.2,5.19,6.42,121684000,159.7
1997-03,5.2,5.39,6.69,121999000,159.8
1997-04,5.1,5.51,6.89,122291000,159.9
1997-05,4.9,5.5,6.71,122552000,159.9
1997-06,5,5.56,6.49,122818000,160.2
1997-07,4.9,5.52,6.22,123124000,160.4
1997-08,4.8,5.54,6.3,123093000,160.8
1997-09,4.9,5.54,6.21,123604000,161.2
1997-10,4.7,5.5,6.03,123946000,161.5
1997-11,4.6,5.52,5.88,124250000,161.7
1997-12,4.7,5.5,5.81,124554000,161.8
1998-01,4.6,5.56,5.54,124828000,162
1998-02,4.6,5.51,5.57,125027000,162
1998-03,4.7,5.49,5.65,125176000,162
1998-04,4.3,5.45,5.64,125456000,162.2
1998-05,4.4,5.49,5.65,125860000,162.6
1998-06,4.5,5.56,5.5,126080000,162.8
1998-07,4.5,5.54,5.46,126209000,163.2
1998-08,4.5,5.55,5.34,126551000,163.4
1998-09,4.6,5.51,4.81,126773000,163.5
1998-10,4.5,5.07,4.53,126974000,163.9
1998-11,4.4,4.83,4.83,127254000,164.1
1998-12,4.4,4.68,4.65,127601000,164.4
1999-01,4.3,4.63,4.72,127727000,164.7
1999-02,4.4,4.76,5,128136000,164.7
1999-03,4.2,4.81,5.23,128244000,164.8
1999-04,4.3,4.74,5.18,128618000,165.9
1999-05,4.2,4.74,5.54,128830000,166
1999-06,4.3,4.76,5.9,129093000,166
1999-07,4.3,4.99,5.79,129414000,166.7
1999-08,4.2,5.07,5.94,129576000,167.1
1999-09,4.2,5.22,5.92,129792000,167.8
1999-10,4.1,5.2,6.11,130189000,168.1
1999-11,4.1,5.42,6.03,130482000,168.4
1999-12,4,5.3,6.28,130781000,168.8
2000-01,4,5.45,6.66,131009000,169.3
2000-02,4.1,5.73,6.52,131140000,170
2000-03,4,5.85,6.26,131608000,171
2000-04,3.8,6.02,5.99,131895000,170.9
2000-05,4,6.27,6.44,132121000,171.2
2000-06,4,6.53,6.1,132077000,172.2
2000-07,4,6.54,6.05,132253000,172.7
2000-08,4.1,6.5,5.83,132240000,172.7
2000-09,3.9,6.52,5.8,132375000,173.6
2000-10,3.9,6.51,5.74,132361000,173.9
2000-11,3.9,6.51,5.72,132589000,174.2
2000-12,3.9,6.4,5.24,132731000,174.6
2001-01,4.2,5.98,5.16,132706000,175.6
2001-02,4.2,5.49,5.1,132778000,176
2001-03,4.3,5.31,4.89,132751000,176.1
2001-04,4.4,4.8,5.14,132471000,176.4
2001-05,4.3,4.21,5.39,132432000,177.3
2001-06,4.5,3.97,5.28,132302000,177.7
2001-07,4.6,3.77,5.24,132191000,177.4
2001-08,4.9,3.65,4.97,132035000,177.4
2001-09,5,3.07,4.73,131794000,178.1
2001-10,5.3,2.49,4.57,131467000,177.6
2001-11,5.5,2.09,4.65,131176000,177.5
2001-12,5.7,1.82,5.09,131004000,177.4
